AccentCity,Population,Latitude,Longitude
Germersheim,20706.0,49.223056,8.363889
Gernsbach,14548.0,48.766667,8.333333
Gernsheim,9435.0,49.76,8.495833
Gerstetten,12407.0,48.633333,10.033333
Gersthofen,20322.0,48.416667,10.883333
Gescher,16937.0,51.95,7.016667
Geseke,20790.0,51.65,8.516667
Gevelsberg,32978.0,51.316666999999995,7.3333330000000005
Giengen,20211.0,48.616667,10.25
Gifhorn,42699.0,52.483332999999995,10.55
Gilching,17204.0,48.116667,11.3
Ginsheim-Gustavsburg,16283.0,49.985833,8.3425
Gladbeck,77264.0,51.566666999999995,6.983333
Gladenbach,12613.0,50.766667,8.566667
Glauchau,26260.0,50.816666999999995,12.533333
Glinde,16106.0,53.55,10.2
Goch,34045.0,51.666667,6.1666669999999995
Goldbach,10038.0,49.988889,9.186389
Goslar,43461.0,51.9,10.433333
Gotha,47214.0,50.95,10.716667
Gottmadingen,10242.0,47.733333,8.783333
Graben-Neudorf,11683.0,49.170278,8.487778
Grafenau,9180.0,48.85,13.4
Grafing,12469.0,48.05,11.966667
Grefrath,16167.0,51.3,6.316667
Greifswald,51935.0,54.1,13.383332999999999
Greiz,23931.0,50.65,12.2
Grenzach-Wyhlen,13994.0,47.552572999999995,7.6605669999999995
Grevenbroich,64851.0,51.083333,6.5833330000000005
Greven,35732.0,52.1,7.616667
Griesheim,25432.0,49.862778000000006,8.575277999999999
Grimma,17780.0,51.233333,12.716667
Grimmen,10764.0,54.1,13.05
Gronau,46061.0,52.2,7.033333
Guben,21602.0,51.95,14.716667000000001
Gummersbach,53244.0,51.033333,7.55
Gundelfingen,11475.0,48.05,7.866667
Gunzenhausen,16666.0,49.1,10.75
Haan,29369.0,51.2,7.0
Haar,17810.0,48.1,11.733333
Hagen,14349.0,52.2,7.983333
Hagen,199497.0,51.35,7.466667
Hagenow,12253.0,53.433333,11.183333
Haiger,20134.0,50.75,8.216667
Haigerloch,11066.0,48.366667,8.8
Hainichen,9628.0,50.966667,13.116667000000001
Halberstadt,39391.0,51.9,11.05
Haldensleben,20131.0,52.3,11.416667
Halle,20921.0,52.066666999999995,8.366667
Halle,232452.0,51.5,12.0
Halstenbek,16074.0,53.63333299999999,9.85
Haltern,38212.0,51.733333,7.183333
Halver,17660.0,51.2,7.483333
Hamburg,1733846.0,53.55,10.0
Hameln,59349.0,52.1,9.35
Hammelburg,11798.0,50.116667,9.9
Hamm,186289.0,51.683333000000005,7.8
Hamminkeln,27755.0,51.733333,6.5833330000000005
Hanau,89938.0,50.133333,8.916667
Hanover,519144.0,52.366667,9.716667
Haren,23038.0,52.783333,7.233333
Harrislee,11600.0,54.8,9.383333
Harsewinkel,23910.0,51.966667,8.233333
Harsum,12401.0,52.216667,9.966667
Hasbergen,10863.0,52.233333,7.933333
Hatten,13342.0,53.016667000000005,8.35
Hattersheim,25544.0,50.066666999999995,8.466667
Hattingen,58076.0,51.4,7.1666669999999995
Hauzenberg,12471.0,48.65,13.633332999999999
Havixbeck,12249.0,51.983333,7.4166669999999995
Hechingen,19671.0,48.35,8.983333
Heddesheim,11673.0,49.505556,8.603611
Heide,20309.0,54.2,9.1
Heidelberg,144703.0,49.416667,8.7
Heidenau,16719.0,50.983333,13.866667000000001
Heidenheim,50684.0,48.683333000000005,10.15
Heilbad Heiligenstadt,17056.0,51.383333,10.133333
Heilbronn,121822.0,49.140278,9.22
Heiligenhafen,9328.0,54.36666700000001,10.983333
Heiligenhaus,28312.0,51.316666999999995,6.966667
Heinsberg,42409.0,51.066666999999995,6.0833330000000005
Helmbrechts,9539.0,50.233333,11.7
Helmstedt,25686.0,52.233333,11.0
Hemer,39288.0,51.383333,7.766667
Hemmingen,18956.0,52.316666999999995,9.75
Hemsbach,12442.0,49.591667,8.646389
Hennef,45829.0,50.783333,7.283333
Hennigsdorf,26498.0,52.63333299999999,13.2
Henstedt-Ulzburg,26062.0,53.783333,10.0
Heppenheim,25580.0,49.640833,8.637222
Herborn,21404.0,50.683333000000005,8.316667
Herbrechtingen,13244.0,48.616667,10.183333
Herdecke,25954.0,51.4,7.433333
Herford,65834.0,52.133333,8.683333
Hermsdorf,8728.0,50.9,11.866667
Herne,173121.0,51.55,7.216667
Herrenberg,31401.0,48.6,8.866667
Hersbruck,12506.0,49.5125,11.433889
Herten,65367.0,51.6,7.133333
Herxheim,10443.0,49.509167,8.179167
Herzberg,14832.0,51.65,10.333333
Herzberg,12188.0,51.683333000000005,13.233332999999998
Herzogenaurach,23229.0,49.55,10.883333
Herzogenrath,47425.0,50.866667,6.1
Hessisch Lichtenau,13394.0,51.2,9.716667
Hessisch Oldendorf,19871.0,52.166667,9.25
Hettstedt,15876.0,51.65,11.5
Heubach,10164.0,48.783333,9.933333
Heusenstamm,19257.0,50.066666999999995,8.8
Heusweiler,20094.0,49.35,6.933333
Hiddenhausen,20742.0,52.166667,8.616667
Hilchenbach,16784.0,50.983333,8.1
Hildburghausen,12422.0,50.416667,10.75
Hilden,57036.0,51.166667,6.933333
Hildesheim,102958.0,52.15,9.966667
Hille,16620.0,52.333333,8.75
Hilpoltstein,12968.0,49.19,11.188611
Hilter,10312.0,52.15,8.15
Hirschaid,11514.0,49.819444,10.990833
Hochheim,17203.0,50.016667,8.35
Hockenheim,20814.0,49.322778,8.545833
Hofgeismar,16199.0,51.483333,9.4
Hofheim,38482.0,50.083333,8.45
Hof,49353.0,50.316666999999995,11.916667
Hohen Neuendorf,22687.0,52.666667000000004,13.283332999999999
Hohenstein-Ernstthal,16416.0,50.8,12.716667
Holzgerlingen,11567.0,48.633333,9.016667
Holzkirchen,15459.0,47.883333,11.7
Holzminden,21028.0,51.816666999999995,9.45
Holzwickede,17867.0,51.5,7.633333
Homberg,14893.0,51.033333,9.4
Homburg,45010.0,49.316666999999995,7.3333330000000005
Horb,26287.0,48.433333000000005,8.683333
Hoyerswerda,43267.0,51.433333000000005,14.25
Hude,15858.0,53.11666700000001,8.466667
Hungen,12844.0,50.466667,8.9
Husum,20753.0,54.466667,9.05
Idar-Oberstein,32876.0,49.7,7.3
Idstein,23432.0,50.233333,8.266667
Ihlow,12757.0,51.883333,13.333332999999998
Illertissen,16623.0,48.216667,10.1
Illingen,18312.0,49.366667,7.05
Ilmenau,27471.0,50.683333000000005,10.9
Ilsede,12326.0,52.266667,10.2
Immenstadt,14282.0,47.566666999999995,10.216667
Ingelheim,25296.0,49.980556,8.073611
Ingolstadt,120598.0,48.766667,11.433333
Iserlohn,98190.0,51.366667,7.7
Ismaning,14722.0,48.233333,11.633333
Isny,14461.0,47.7,10.033333
Isselburg,11274.0,51.833333,6.466667
Issum,12257.0,51.533333,6.433333
Itzehoe,33415.0,53.916667000000004,9.516667
Jena,99269.0,50.933333000000005,11.583333
Jever,14079.0,53.583332999999996,7.9
Jork,11878.0,53.533333,9.683333
Kaarst,42876.0,51.233333,6.616667
Kaiserslautern,98947.0,49.45,7.75
Kalkar,14405.0,51.733333,6.3
Kall,12074.0,50.55,6.55
Kaltenkirchen,19161.0,53.833332999999996,9.966667
Kamen,46076.0,51.6,7.6666669999999995
Kamenz,18122.0,51.266667,14.1
Kamp-Lintfort,39949.0,51.5,6.533333
Kappeln,9801.0,54.666667000000004,9.933333
Karben,21718.0,50.233333,8.75
Karlsfeld,17958.0,48.216667,11.466667
Karlsruhe,284786.0,49.004721999999994,8.385833
Karlstadt,15247.0,49.960278,9.772222
Kassel,193117.0,51.316666999999995,9.5
